"ID","Accident ID","Region Number","Corridor ID","Location (Intersection/Road/Street)","Corridor","Location- longitude/ X","Location- latitude/  Y","Mile Marker","Village","Date of Accident","Time of Accident","Type of Accident","Class of Road User","Age/DOB","Gender","Class of Vehicles Involved","Contributing Factor","Number of Persons Involved"
5717,26146.00,"4- Demerara- Mahaica",351,"Bagotstown Public Rd.","East bank Demerara (from Georgetown)","-58.1794","6.7505",,,11/10/2010 0:00:00,12/30/1899 15:00:00,"D- Property Damage","F- Driver",51.00,"Male","J- Minibus;K- Private Cars","S- Driver's Negligence",2.00
5718,26147.00,"4- Demerara- Mahaica",365,"Covent Garden Public Rd.","East bank Demerara (from Georgetown)","-58.1898","6.7372",,,11/22/2010 0:00:00,12/30/1899 7:45:00,"B- Serious Injury","F- Driver",,"Male","K- Private Cars;W-Pedal Cycle","P- Speeding",2.00
5719,26148.00,"4- Demerara- Mahaica",366,"Providence Public Rd.","East bank Demerara (from Georgetown)","-58.1805","6.7587",,,11/18/2010 0:00:00,12/30/1899 18:10:00,"B- Serious Injury","F- Driver",21.00,"Male","J- Minibus;L- Lorries Van","P- Speeding",4.00
5720,26149.00,"4- Demerara- Mahaica",353,"Peter's Hall Public Rd.","East bank Demerara (from Georgetown)","-58.1698","6.7724",,,11/22/2010 0:00:00,12/30/1899 13:45:00,"C- Minor Injury","F- Driver",40.00,"Male","J- Minibus;K- Private Cars","S- Driver's Negligence",2.00
5721,26150.00,"4- Demerara- Mahaica",353,"Peter's Hall Public Rd.","East bank Demerara (from Georgetown)","-58.1698","6.7724",,,11/19/2010 0:00:00,12/30/1899 4:10:00,"D- Property Damage","F- Driver",30.00,"Male","L- Lorries Van;M- Hire Cars","S- Driver's Negligence",2.00
5722,26151.00,"4- Demerara- Mahaica",367,"Little Diamond Public Rd.","East bank Demerara (from Georgetown)","-58.1864","6.7378",,,11/23/2010 0:00:00,12/30/1899 15:00:00,"D- Property Damage","F- Driver",36.00,"Male","J- Minibus;K- Private Cars","S- Driver's Negligence",2.00
5723,26152.00,"4- Demerara- Mahaica",363,"Farm Public Rd.","East bank Demerara (from Georgetown)","-58.1881","6.7380",,,11/24/2010 0:00:00,12/30/1899 11:45:00,"C- Minor Injury","G- Rider",54.00,"Male","V-Motor Cycle","S- Driver's Negligence",2.00
5724,26153.00,"4- Demerara- Mahaica",366,"Providence Public Rd.","East bank Demerara (from Georgetown)","-58.1805","6.7587",,,11/28/2010 0:00:00,12/30/1899 16:55:00,"D- Property Damage","F- Driver",36.00,"Male","J- Minibus;K- Private Cars","S- Driver's Negligence",2.00
5725,26154.00,"4- Demerara- Mahaica",363,"Farm Public Rd.","East bank Demerara (from Georgetown)","-58.1881","6.7380",,,11/30/2010 0:00:00,12/30/1899 17:50:00,"A- Fatal","F- Driver",61.00,"Male","N- Pickup;V-Motor Cycle","Q- Alcohol",2.00
5726,26155.00,"4- Demerara- Mahaica",366,"Providence Public Rd.","East bank Demerara (from Georgetown)","-58.1805","6.7587",,,12/1/2010 0:00:00,12/30/1899 18:10:00,"D- Property Damage","F- Driver",27.00,"Male","L- Lorries Van","S- Driver's Negligence",2.00
5727,26156.00,"4- Demerara- Mahaica",351,"Bagotstown Public Rd.","East bank Demerara (from Georgetown)","-58.1794","6.7505",,,12/5/2010 0:00:00,,"D- Property Damage","F- Driver",34.00,"Male","J- Minibus","S- Driver's Negligence",2.00
5728,26157.00,"4- Demerara- Mahaica",366,"Providence Public Rd.","East bank Demerara (from Georgetown)","-58.1805","6.7587",,,12/9/2010 0:00:00,12/30/1899 18:05:00,"D- Property Damage","F- Driver",49.00,"Male","N- Pickup","Y-Animal",2.00
5729,26158.00,"4- Demerara- Mahaica",356,"Parker St. Providence","East bank Demerara (from Georgetown)","-58.1807","6.7582",,,12/9/2010 0:00:00,12/30/1899 11:00:00,"D- Property Damage","F- Driver",50.00,"Male","L- Lorries Van","Q- Alcohol;S- Driver's Negligence",1.00
5730,26159.00,"4- Demerara- Mahaica",353,"Peter's Hall Public Rd.","East bank Demerara (from Georgetown)","-58.1698","6.7724",,,12/13/2010 0:00:00,12/30/1899 8:45:00,"C- Minor Injury","E- Pedestrian",54.00,"Female","K- Private Cars","S- Driver's Negligence",2.00
5731,26160.00,"4- Demerara- Mahaica",361,"Herstelling Public Rd.","East bank Demerara (from Georgetown)","-58.1848","6.7464",,,12/22/2010 0:00:00,12/30/1899 20:15:00,"B- Serious Injury","F- Driver",31.00,"Male","K- Private Cars","T-Pedestrian's Negligence",2.00
5732,26161.00,"4- Demerara- Mahaica",353,"Peter's Hall Public Rd.","East bank Demerara (from Georgetown)","-58.1698","6.7724",,,12/25/2010 0:00:00,12/30/1899 14:50:00,"C- Minor Injury","F- Driver",28.00,"Male","J- Minibus;K- Private Cars;M- Hire Cars;N- Pickup","P- Speeding",4.00
