"code","manufacturer","category","creation_date","promised_date","need_by_date","transaction_date","qty_recv","unit_cost","total"
"FDC","SAMSUNG","PHONE",2018-03-22,2018-04-20,2018-04-20,2018-04-24,1015,591,599865
"FDC","SAMSUNG","PHONE",2018-03-22,2018-04-20,2018-04-20,2018-04-24,1920,865,1660800
"FDC","LG ELECTRONICS","GOPHONE",2018-02-21,2018-04-24,2018-04-24,2018-04-24,4320,47.99,207316.8
"FDC","LG ELECTRONICS","GOPHONE",2018-02-21,2018-04-24,2018-04-24,2018-04-24,4320,47.99,207316.8
"FDC","LG ELECTRONICS","GOPHONE",2018-02-21,2018-04-24,2018-04-24,2018-04-24,4320,47.99,207316.8
"FDC","LG ELECTRONICS","GOPHONE",2018-02-21,2018-04-24,2018-04-24,2018-04-24,4320,47.99,207316.8
"FDC","LG ELECTRONICS","GOPHONE",2018-02-21,2018-04-24,2018-04-24,2018-04-24,4320,47.99,207316.8
"FDC","SAMSUNG","PHONE",2018-04-04,2018-04-25,2018-04-25,2018-04-25,2520,765,1927800
"FDC","SAMSUNG","PHONE",2018-04-04,2018-04-25,2018-04-25,2018-04-25,900,675,607500
"FDC","SAMSUNG","PHONE",2018-04-18,2018-04-25,2018-04-25,2018-04-25,3360,704,2365440
"FDC","SAMSUNG","PHONE",2018-04-19,2018-04-25,2018-04-25,2018-04-25,6720,704,4730880
"FDC","SAMSUNG","PHONE",2018-03-13,2018-04-25,2018-04-25,2018-04-25,5760,816,4700160
"FDC","SAMSUNG","PHONE",2018-03-13,2018-04-25,2018-04-25,2018-04-25,5760,816,4700160
"FDC","SAMSUNG","PHONE",2018-03-22,2018-04-25,2018-04-25,2018-04-25,5760,816,4700160
"FDC","SAMSUNG","COMPUTER",2018-03-02,2018-04-25,2018-04-25,2018-04-25,4500,189,850500
"FDC","SAMSUNG","PHONE",2018-04-04,2018-04-25,2018-04-25,2018-04-25,5040,865,4359600
"FDC","SAMSUNG","PHONE",2018-04-04,2018-04-25,2018-04-25,2018-04-25,5040,865,4359600
"FDC","SAMSUNG","GOPHONE",2018-04-04,2018-04-25,2018-04-25,2018-04-25,6000,130,780000
"FDC","SAMSUNG","PHONE",2018-04-04,2018-04-25,2018-04-25,2018-04-25,2970,170,504900
"FDC","SAMSUNG","GOPHONE",2018-04-04,2018-04-25,2018-04-25,2018-04-25,3145,130,408850
"FDC","LG ELECTRONICS","GOPHONE",2018-02-21,2018-04-24,2018-04-24,2018-04-26,864,47.99,41463.36
"FDC","LG ELECTRONICS","GOPHONE",2018-02-21,2018-04-24,2018-04-24,2018-04-26,4320,47.99,207316.8
"FDC","LG ELECTRONICS","GOPHONE",2018-02-21,2018-04-24,2018-04-24,2018-04-26,4320,47.99,207316.8
"FDC","SAMSUNG","PHONE",2018-03-22,2018-04-25,2018-04-25,2018-04-26,5760,816,4700160
"FDC","SAMSUNG","PHONE",2018-04-16,2018-04-25,2018-04-25,2018-04-26,5940,409,2429460
"FDC","SAMSUNG","PHONE",2018-04-16,2018-04-25,2018-04-25,2018-04-26,4980,675,3361500
"FDC","SAMSUNG","PHONE",2018-04-04,2018-04-25,2018-04-25,2018-04-26,4000,865,3460000
"FDC","SAMSUNG","PHONE",2018-04-04,2018-04-27,2018-04-27,2018-04-26,2520,765,1927800
"FDC","SAMSUNG","PHONE",2018-04-19,2018-04-25,2018-04-25,2018-04-26,5280,704,3717120
"FDC","SAMSUNG","PHONE",2018-04-04,2018-04-25,2018-04-25,2018-04-26,7560,170,1285200
"FDC","SAMSUNG","COMPUTER",2018-04-16,2018-04-25,2018-04-25,2018-04-26,4500,189,850500
"FDC","SAMSUNG","PHONE",2018-04-04,2018-04-25,2018-04-25,2018-04-26,2070,865,1790550
"FDC","SAMSUNG","GOPHONE",2018-04-04,2018-04-25,2018-04-25,2018-04-26,6000,130,780000
"FDC","SAMSUNG","PHONE",2018-04-04,2018-04-27,2018-04-27,2018-04-26,3200,130,416000
"FDC","LG ELECTRONICS","GOPHONE",2018-04-19,2018-04-27,2018-04-27,2018-04-27,5616,99.99,561543.84
"FDC","LG ELECTRONICS","GOPHONE",2018-04-19,2018-04-27,2018-04-27,2018-04-27,5616,99.99,561543.84
"FDC","LG ELECTRONICS","GOPHONE",2018-02-21,2018-04-24,2018-04-24,2018-04-27,864,47.99,41463.36
"FDC","LG ELECTRONICS","GOPHONE",2018-04-19,2018-04-27,2018-04-27,2018-04-27,5616,99.99,561543.84
"FDC","LG ELECTRONICS","GOPHONE",2018-04-19,2018-04-27,2018-04-27,2018-04-27,5616,99.99,561543.84
"FDC","LG ELECTRONICS","GOPHONE",2018-04-19,2018-04-27,2018-04-27,2018-04-27,2160,99.99,215978.4
"FDC","LG ELECTRONICS","GOPHONE",2018-04-19,2018-04-27,2018-04-27,2018-04-27,5184,99.99,518348.16
"FDC","SAMSUNG","PHONE",2018-04-24,2018-04-30,2018-04-30,2018-04-27,1440,816,1175040
"FDC","SAMSUNG","PHONE",2018-04-24,2018-04-30,2018-04-30,2018-04-27,3840,816,3133440
"FDC","SAMSUNG","PHONE",2018-04-24,2018-04-30,2018-04-30,2018-04-27,5760,816,4700160
"FDC","SAMSUNG","PHONE",2018-04-25,2018-04-30,2018-04-30,2018-04-27,480,704,337920
"FDC","SAMSUNG","PHONE",2018-04-25,2018-04-30,2018-04-30,2018-04-27,6720,704,4730880
"FDC","SAMSUNG","PHONE",2018-04-25,2018-04-30,2018-04-30,2018-04-27,1020,704,718080
"FDC","SAMSUNG","PHONE",2018-04-04,2018-04-26,2018-04-26,2018-04-30,5660,130,735800
"FDC","SAMSUNG","PHONE",2018-02-22,2018-02-28,2018-02-28,2018-03-01,480,704,337920
"FDC","SAMSUNG","PHONE",2018-02-22,2018-02-28,2018-02-28,2018-03-01,960,816,783360
"FDC","SAMSUNG","PHONE",2018-02-22,2018-02-28,2018-02-28,2018-03-01,795,816,648720
"FDC","SAMSUNG","PHONE",2018-02-22,2018-03-28,2018-03-28,2018-03-01,960,816,783360
"FDC","SAMSUNG","PHONE",2018-02-22,2018-02-28,2018-02-28,2018-03-01,725,816,591600
"FDC","SAMSUNG","PHONE",2018-02-22,2018-02-28,2018-02-28,2018-03-01,5760,816,4700160
"FDC","SAMSUNG","PHONE",2018-02-22,2018-02-28,2018-02-28,2018-03-01,230,704,161920
"FDC","SAMSUNG","PHONE",2018-02-22,2018-02-28,2018-02-28,2018-03-01,3400,816,2774400
"FDC","SAMSUNG","PHONE",2018-02-22,2018-02-28,2018-02-28,2018-03-01,1400,816,1142400
"FDC","SAMSUNG","PHONE",2018-02-22,2018-03-28,2018-03-28,2018-03-01,3045,816,2484720
"FDC","LG ELECTRONICS","PHONE",2018-02-12,2018-02-27,2018-02-27,2018-03-01,590,719.99,424794.1
"FDC","SAMSUNG","PHONE",2018-01-31,2018-02-28,2018-02-28,2018-03-02,790,765,604350
"FDC","SAMSUNG","PHONE",2018-02-22,2018-02-28,2018-02-28,2018-03-02,45,704,31680
"FDC","SAMSUNG","PHONE",2018-02-22,2018-02-28,2018-02-28,2018-03-02,365,704,256960
"FDC","SAMSUNG","PHONE",2018-02-22,2018-03-02,2018-03-02,2018-03-02,480,816,391680
"FDC","SAMSUNG","PHONE",2018-02-22,2018-02-28,2018-02-28,2018-03-02,2880,816,2350080
"FDC","SAMSUNG","PHONE",2018-02-22,2018-02-28,2018-02-28,2018-03-05,2880,816,2350080
"FDC","LG ELECTRONICS","PHONE",2018-02-20,2018-02-27,2018-02-27,2018-03-06,1225,291.24,356769
"FDC","LG ELECTRONICS","PHONE",2018-02-05,2018-02-28,2018-02-28,2018-03-06,630,719.99,453593.7
"FDC","LG ELECTRONICS","PHONE",2018-02-12,2018-02-27,2018-02-27,2018-03-08,630,719.99,453593.7
